"fecha","nombre","cdma","gsma","umts","hspa+","lte"
"2016-07","cnt",0,168955,0,318229,841023
"2016-08","cnt",0,168645,0,308797,894645
"2016-09","cnt",0,168392,0,305974,906357
"2016-10","cnt",0,168501,0,302680,910408
"2016-11","cnt",0,168460,0,300115,996861
"2016-12","cnt",0,167794,0,297924,1075501
"2017-01","cnt",0,168362,0,292663,1145632
"2017-02","cnt",0,162617,0,291626,1179619
"2017-03","cnt",0,161903,0,290472,1202756
"2017-04","cnt",0,161918,0,288623,1270868
"2017-05","cnt",0,160558,0,286873,1276052
"2017-06","cnt",0,105646,0,284589,1285911
"2017-07","cnt",0,105324,0,283545,1440288
"2017-08","cnt",0,105430,0,281683,1495049
"2017-09","cnt",0,105531,0,279440,1539381
"2017-10","cnt",0,105404,0,276280,1604242
"2017-11","cnt",0,105422,0,257910,1664077
"2017-12","cnt",0,105840,0,265966,1770311
"2018-01","cnt",0,106026,0,257716,1873098
"2018-02","cnt",0,106050,0,257038,1934208
"2018-03","cnt",0,109661,0,256835,2011779
"2018-04","cnt",0,108505,0,256101,2079241
"2018-05","cnt",0,108514,0,255589,2131494
"2018-06","cnt",0,108581,0,254602,2170629
"2018-07","cnt",0,105203,0,254462,2249902
"2018-08","cnt",0,105167,0,253560,2300139
"2018-09","cnt",0,105119,0,252818,2381335
"2018-10","cnt",0,105151,0,252833,2413230
"2018-11","cnt",0,104742,0,252542,2450047
"2018-12","cnt",0,104907,0,252233,2488002
"2019-01","cnt",0,104581,0,251880,2547793
"2019-02","cnt",0,104733,0,251598,2588617
"2019-03","cnt",0,104534,0,251467,2608683
"2019-04","cnt",0,104443,0,251358,2661815
"2019-05","cnt",0,104397,0,250623,2685055
"2019-06","cnt",0,99931,0,282756,2690469
"2019-07","cnt",0,99233,0,270853,2647748
"2019-08","cnt",0,99177,0,270274,2671946
"2019-09","cnt",0,89587,0,189288,2704418
"2019-10","cnt",0,89730,0,83595,2746219
"2019-11","cnt",0,89817,0,79775,2745093
"2019-12","cnt",0,90785,0,57576,2755329
"2020-01","cnt",0,90653,0,58023,2747561
"2020-02","cnt",0,90809,0,57415,2731301
"2020-03","cnt",0,90524,0,57455,2761936
"2020-04","cnt",0,90504,0,57436,2773110
"2020-05","cnt",0,90059,0,56734,2751627
"2020-06","cnt",0,88685,0,48471,2728671
"2020-07","cnt",0,88220,0,46178,2638039
"2020-08","cnt",0,88198,0,45599,2629506
"2020-09","cnt",0,88301,0,45394,2629244
"2020-10","cnt",0,88272,0,42883,2649390
"2020-11","cnt",0,88264,0,42685,2666120
